farmer_id;market_id;transaction_date;amount;name;creation_date;title;category;worker_id;extra_info
230;665;2025-04-29;4391;Shelton Inc;2023-04-03;Night;experience;169.0;hot
322;381;2021-05-03;1969;Elliott Group;2024-07-27;Wife;data;;
364;756;2022-10-21;3272;Boyd-Sexton;2024-06-11;Short;blue;;
451;307;2022-01-11;4271;Clay, Rivera and Taylor;2025-12-13;Traditional;appear;;
279;439;2021-03-06;1269;Craig, Gordon and Chang;2021-06-08;Weight;clear;;
496;480;2022-05-13;2503;Barrett, Patrick and Morton;2025-03-09;Actually;various;129.0;nor
37;194;2020-06-10;2284;Meyer-Kim;2022-04-17;Student;each;40.0;do
56;25;2025-04-07;2413;Wheeler-Blackburn;2025-06-13;The;magazine;1.0;move
56;25;2025-04-07;2413;Wheeler-Blackburn;2025-06-13;The;magazine;132.0;sort
364;537;2023-03-19;438;Boyd-Sexton;2024-06-11;Skin;you;;
98;796;2022-02-05;414;Riley, Dunn and Mccarty;2024-07-30;Prevent;evidence;;
182;118;2025-09-03;2908;Moore, Rivera and Nguyen;2024-06-18;Determine;recognize;;
178;211;2023-04-08;1898;Hernandez, Lewis and Shields;2025-07-25;Across;prove;97.0;pay
449;499;2023-10-13;3776;Price-Mckay;2023-01-29;Leader;spend;;
129;160;2021-10-21;4983;Gonzalez LLC;2025-09-05;Production;far;30.0;difficult
129;160;2021-10-21;4983;Gonzalez LLC;2025-09-05;Production;far;191.0;a
396;858;2020-03-05;1535;Mclaughlin Inc;2023-12-02;Coach;concern;;
55;693;2022-02-05;2582;Hill, Allen and Rodriguez;2022-07-31;Entire;personal;114.0;ability
15;968;2024-02-14;564;Jackson, Miller and Chang;2024-05-13;Responsibility;read;;
134;240;2022-02-13;2121;Riddle-Jones;2023-07-15;Describe;attorney;;
89;620;2023-09-19;2543;Johns, Wolf and Osborne;2023-07-02;Simply;without;;
103;688;2022-10-20;2189;Miller, Rojas and Hall;2024-12-07;Special;where;;
273;299;2021-12-29;3143;Deleon, Conway and Sanchez;2024-12-11;General;parent;134.0;leg
196;430;2020-07-20;2461;Robinson-Cowan;2025-03-23;Piece;our;;
232;815;2022-08-09;2218;Stephenson Group;2025-12-12;Same;cultural;;
188;200;2022-09-08;1562;Davis, Cortez and Young;2022-03-06;Image;those;133.0;assume
188;200;2022-09-08;1562;Davis, Cortez and Young;2022-03-06;Image;those;135.0;support
345;390;2025-01-05;1414;Perez-Shannon;2023-09-04;Meeting;language;;
272;3;2022-11-30;1386;Barrett PLC;2022-06-07;Development;approach;;
192;965;2022-12-17;3641;Bowman Ltd;2023-10-30;Crime;simple;;
144;773;2020-12-31;816;Mercado-Thomas;2024-04-11;Personal;sea;103.0;need
359;373;2026-01-27;4044;Thompson-Miller;2025-10-31;Trial;box;;
8;199;2020-07-23;3870;Garcia-Lawson;2024-11-18;Before;around;;
386;802;2020-07-05;4443;Hayden-Ellis;2026-01-01;Institution;among;;
327;382;2021-02-06;4922;Mills, Mclaughlin and Smith;2026-02-09;Political;Democrat;66.0;certainly
297;737;2023-09-02;2529;Martin-Stuart;2023-04-09;Cell;may;;
240;457;2022-03-04;2733;Cannon-Newman;2024-02-03;Either;late;31.0;coach
38;738;2024-03-30;119;Moore LLC;2022-08-15;Method;away;;
184;523;2023-04-03;4461;Moore, Lopez and Santos;2021-12-10;Industry;buy;;
120;299;2022-12-25;444;Mcdaniel-Garza;2022-08-16;General;parent;;
127;914;2025-08-30;1794;Hill PLC;2025-05-30;Study;choose;73.0;Congress
399;200;2021-01-18;1727;Scott Group;2021-11-11;Image;those;84.0;page
108;346;2022-04-15;1325;Mejia Ltd;2021-06-22;Wrong;task;;
346;568;2022-12-15;130;Paul, Stewart and Pierce;2024-08-13;Wonder;bag;44.0;house
121;681;2020-11-28;4008;Ruiz, Miller and Giles;2023-10-05;Blue;window;;
499;605;2021-03-06;1053;Jacobs, Johnson and Clark;2022-01-05;Do;large;9.0;piece
499;605;2021-03-06;1053;Jacobs, Johnson and Clark;2022-01-05;Do;large;43.0;here
420;203;2021-03-05;4036;Brooks Ltd;2021-05-23;Wind;stock;;
296;704;2021-08-02;3832;Coleman-Reyes;2025-07-26;Defense;star;83.0;responsibility
296;704;2021-08-02;3832;Coleman-Reyes;2025-07-26;Defense;star;145.0;somebody
396;498;2023-08-26;2454;Mclaughlin Inc;2023-12-02;Boy;though;;
468;528;2022-06-23;298;Crawford, Barnes and Aguilar;2021-04-19;Some;must;;
480;31;2025-04-30;672;Jones-Chavez;2022-10-24;Security;marriage;99.0;then
480;31;2025-04-30;672;Jones-Chavez;2022-10-24;Security;marriage;131.0;religious
119;897;2023-08-23;2368;Shelton, Odonnell and Williams;2022-11-17;Eat;growth;;
492;445;2020-03-01;4100;Lyons, Gomez and Oconnor;2021-04-27;Like;parent;;
234;93;2023-06-22;236;Yates LLC;2025-03-18;Nearly;whom;87.0;audience
234;93;2023-06-22;236;Yates LLC;2025-03-18;Nearly;whom;164.0;where
323;110;2026-02-04;4225;Cummings and Sons;2022-10-22;Our;manage;;
470;977;2022-07-31;2784;Ray, Hall and Graves;2024-05-10;Decision;off;;
154;548;2024-01-31;2017;Coffey, Hodges and Tanner;2024-09-16;Drug;last;179.0;democratic
154;548;2024-01-31;2017;Coffey, Hodges and Tanner;2024-09-16;Drug;last;189.0;kind
91;673;2022-09-08;3976;Lee-Osborne;2023-03-17;Night;continue;;
321;347;2020-07-12;3504;Frost-Wolfe;2023-12-28;Speak;far;;
470;623;2021-06-06;3552;Ray, Hall and Graves;2024-05-10;Art;from;;
497;581;2021-11-28;4531;Bowers-Townsend;2022-08-31;Similar;small;;
30;427;2021-02-20;1065;Vargas, Santiago and Mcdonald;2024-10-25;Task;education;;
482;651;2026-01-01;3486;Stout Inc;2023-05-30;Street;recently;;
285;610;2021-09-21;3034;English-Williams;2023-09-29;To;bad;;
324;605;2020-01-18;2292;Pearson-Dean;2022-05-18;Do;large;;
367;759;2020-08-24;562;Waters Inc;2025-12-04;Own;recognize;;
155;19;2026-01-21;3209;Harris-Travis;2023-09-23;Social;message;;
61;858;2022-04-01;1615;Stewart, Hopkins and Williams;2021-12-31;Coach;concern;;
438;280;2023-10-03;3661;Reed, Vega and Ho;2022-04-05;Stock;civil;42.0;seem
117;70;2022-06-08;2923;Avila, Duke and Medina;2024-04-05;Official;almost;184.0;specific
136;230;2021-05-05;1961;Knight Group;2025-03-11;Theory;study;;
319;428;2025-04-17;1485;Lee-White;2022-01-14;Any;front;;
490;694;2025-01-17;2439;Pruitt-Young;2021-04-13;Again;nature;;
37;336;2021-06-20;379;Meyer-Kim;2022-04-17;Unit;list;40.0;do
280;636;2023-07-14;3756;Fitzgerald, Good and Curtis;2021-09-14;Second;arrive;68.0;glass
280;636;2023-07-14;3756;Fitzgerald, Good and Curtis;2021-09-14;Second;arrive;186.0;ball
191;652;2020-09-02;2454;Cross, Skinner and Hart;2022-12-01;Thought;provide;;
115;30;2022-09-27;544;Johnson, Brennan and Wright;2025-01-01;Maybe;system;183.0;feeling
116;622;2020-11-12;1836;Williams, Anderson and Lopez;2025-02-13;Reflect;position;28.0;difference
333;131;2024-02-03;4962;Robinson, Riddle and Reese;2024-10-16;Generation;work;;
26;334;2023-01-06;999;Barron, Dodson and Baker;2024-07-08;Tree;certain;;
52;161;2021-10-14;3004;Hess PLC;2022-07-05;Participant;no;112.0;that
20;923;2023-10-17;3946;Wilkerson PLC;2021-05-09;Paper;military;116.0;explain
160;668;2026-02-17;352;Marshall and Sons;2024-12-11;Assume;argue;63.0;sit
58;34;2023-02-06;3501;Campos, Manning and Johnson;2021-09-03;Party;speak;;
130;928;2023-11-29;4094;Chase PLC;2024-06-12;These;reveal;;
145;479;2020-02-24;2647;Weaver Ltd;2021-10-16;Floor;organization;;
283;763;2020-07-06;390;Nguyen-Patterson;2023-01-09;Front;former;;
467;844;2023-01-31;834;Wilson PLC;2021-12-24;Southern;thus;;
125;572;2025-03-07;3627;Rice, Freeman and Brown;2024-12-11;Player;million;115.0;reality
265;363;2020-01-07;4063;Baker-Wheeler;2021-11-02;Again;large;;
466;810;2020-03-22;2914;Hernandez-Lynch;2022-02-27;Music;expect;;
441;654;2024-05-26;155;Mclaughlin, Hernandez and Fitzpatrick;2025-05-27;Everyone;sound;;
423;201;2023-06-24;750;Goodman-Hayes;2024-12-18;Senior;many;;
181;594;2022-01-12;1633;Jackson, Munoz and Guzman;2025-04-01;Sure;fight;;
219;741;2025-05-18;1398;Adams-Ferguson;2024-08-20;Member;other;151.0;event
407;800;2025-12-29;396;Ford, Spencer and Copeland;2021-10-25;Account;whom;;
84;727;2022-02-08;2996;Daniels LLC;2023-11-15;Threat;soon;;
184;319;2022-12-16;1796;Moore, Lopez and Santos;2021-12-10;Green;almost;;
125;823;2022-10-07;4866;Rice, Freeman and Brown;2024-12-11;Music;certainly;115.0;reality
209;935;2023-08-03;3607;Savage, Tran and Atkins;2021-10-19;Alone;science;;
176;213;2025-09-30;1263;Schaefer-Brooks;2021-04-09;Despite;environment;;
482;368;2021-08-27;2323;Stout Inc;2023-05-30;Challenge;instead;;
238;523;2021-04-22;126;Whitney, Kim and Moore;2025-02-23;Industry;buy;;
29;693;2024-06-05;276;Mills Group;2024-12-01;Entire;personal;37.0;sister
29;693;2024-06-05;276;Mills Group;2024-12-01;Entire;personal;174.0;might
231;473;2020-03-27;4403;Griffin PLC;2021-03-20;Chair;choose;;
473;682;2020-09-29;2021;Brock PLC;2024-01-10;Wrong;organization;;
345;821;2025-03-15;990;Perez-Shannon;2023-09-04;Create;change;;
331;316;2022-05-15;871;Lawrence Inc;2023-06-02;Where;so;149.0;service
487;91;2025-07-14;878;Martin, Mosley and York;2022-04-29;South;system;;
134;304;2020-06-30;693;Riddle-Jones;2023-07-15;Charge;this;;
219;309;2025-09-27;4615;Adams-Ferguson;2024-08-20;Social;shake;151.0;event
252;372;2021-12-19;3021;Mitchell, Phillips and Marshall;2024-10-27;Now;fear;105.0;partner
221;880;2022-11-08;4197;Gardner Group;2024-11-05;Produce;television;41.0;big
416;537;2022-02-10;1811;Richardson LLC;2022-12-31;Skin;you;;
18;710;2023-03-12;2040;Ford-Garrett;2025-06-05;Name;ball;;
84;213;2024-08-09;424;Daniels LLC;2023-11-15;Despite;environment;;
464;77;2021-12-26;2191;Morris Ltd;2021-10-01;Class;city;;
100;482;2021-10-09;3980;Brown PLC;2025-07-17;Manager;behavior;;
231;932;2023-05-06;3579;Griffin PLC;2021-03-20;Rule;about;;
144;965;2025-03-16;4874;Mercado-Thomas;2024-04-11;Crime;simple;103.0;need
83;443;2025-05-06;2020;Graham LLC;2022-11-25;Several;hand;154.0;tree
433;330;2025-03-21;250;Ballard-Orozco;2024-02-08;Because;now;136.0;of
386;379;2023-10-07;2707;Hayden-Ellis;2026-01-01;Somebody;born;;
175;578;2022-06-28;279;Alvarado, Cobb and Dillon;2023-09-19;Sister;party;85.0;over
460;902;2022-11-13;332;Davenport-Cook;2021-03-09;All;way;;
262;905;2023-04-13;578;Williams and Sons;2023-12-20;Economic;meet;;
218;426;2020-11-13;3171;Olson Inc;2026-01-06;Fly;commercial;;
424;295;2023-12-29;3056;Lopez-Palmer;2024-08-05;Subject;order;;
482;820;2025-07-22;3603;Stout Inc;2023-05-30;Buy;focus;;
310;117;2025-05-31;1656;Turner, Bowman and Williams;2021-08-06;It;senior;;
491;179;2021-11-06;3622;Smith LLC;2025-01-19;Level;drop;156.0;hair
491;179;2021-11-06;3622;Smith LLC;2025-01-19;Level;drop;172.0;moment
247;514;2025-01-15;2009;Rivera Group;2021-12-30;Head;wife;197.0;possible
88;227;2021-01-06;3161;Brewer Ltd;2023-01-19;Still;religious;;
329;915;2024-10-01;4238;Miller LLC;2023-07-20;Number;Congress;35.0;mean
182;991;2023-01-12;3001;Moore, Rivera and Nguyen;2024-06-18;Meeting;trial;;
135;124;2020-03-03;717;Williams-Smith;2021-11-26;Find;how;;
352;791;2020-03-24;3220;Brewer-Willis;2024-10-10;Project;become;;
423;586;2023-12-11;2588;Goodman-Hayes;2024-12-18;Fact;receive;;
92;241;2024-07-12;3469;Perez-Robinson;2024-12-31;True;summer;;
380;680;2022-11-07;1862;Hill, Brown and Clark;2023-05-13;Score;tell;;
305;726;2023-05-26;2181;Johnson-Hunter;2023-04-03;Occur;rest;;
471;310;2024-02-02;3597;Mason-Rogers;2025-10-13;Wind;situation;;
153;921;2022-08-12;859;Wilson, Spears and Mitchell;2025-04-21;Life;image;79.0;image
317;152;2020-04-21;2658;Snyder and Sons;2021-07-03;Behind;door;;
253;308;2021-10-16;635;Kelley Ltd;2023-12-20;May;rock;;
267;76;2020-04-16;3613;Wagner Inc;2022-03-29;Black;across;;
314;333;2021-05-12;1820;Moody LLC;2024-10-26;To;watch;;
72;802;2024-04-30;4099;Crane-Torres;2022-06-18;Institution;among;86.0;school
300;446;2023-08-15;624;Saunders-Marshall;2022-10-25;Painting;take;;
149;879;2020-06-06;1998;Sawyer LLC;2026-01-27;Manager;ok;;
149;408;2024-11-25;885;Sawyer LLC;2026-01-27;Agree;represent;;
161;808;2024-10-05;2111;Mays-Harmon;2022-10-23;Because;material;;
165;321;2022-08-04;1985;Williams, Griffith and Craig;2025-01-08;Financial;detail;39.0;away
50;336;2022-05-02;4196;Maldonado and Sons;2021-06-01;Unit;list;;
132;952;2020-10-05;413;Branch and Sons;2021-12-10;Religious;positive;69.0;exist
282;895;2020-10-14;3562;Wilson LLC;2025-01-17;North;discussion;130.0;billion
282;895;2020-10-14;3562;Wilson LLC;2025-01-17;North;discussion;167.0;wonder
343;382;2023-12-10;3220;Stone, Romero and Walton;2022-02-19;Political;Democrat;;
41;44;2025-03-08;4851;Stephenson-Lee;2025-10-15;Ready;level;;
175;651;2021-11-07;305;Alvarado, Cobb and Dillon;2023-09-19;Street;recently;85.0;over
433;303;2025-01-20;3373;Ballard-Orozco;2024-02-08;Either;whom;136.0;of
419;224;2021-01-22;4269;Johnson, Hamilton and Price;2023-10-29;Rather;source;;
58;352;2024-09-12;1196;Campos, Manning and Johnson;2021-09-03;Before;minute;;
265;169;2022-06-11;4182;Baker-Wheeler;2021-11-02;Light;scene;;
500;586;2022-01-08;307;Johnson-Anderson;2024-01-02;Fact;receive;;
366;370;2024-12-07;529;Martinez-West;2024-04-10;Nice;adult;125.0;add
333;716;2025-07-17;3353;Robinson, Riddle and Reese;2024-10-16;Gas;enough;;
37;557;2022-05-02;2787;Meyer-Kim;2022-04-17;Heavy;order;40.0;do
412;710;2024-04-28;3573;Young Ltd;2021-10-29;Name;ball;;
82;686;2021-11-22;3623;Perez PLC;2022-08-24;Difference;black;;
253;492;2020-04-12;2952;Kelley Ltd;2023-12-20;Against;hold;;
225;210;2022-06-04;4203;Bradley-Phillips;2021-10-31;Low;feel;;
29;45;2020-06-20;1462;Mills Group;2024-12-01;Still;whose;37.0;sister
29;45;2020-06-20;1462;Mills Group;2024-12-01;Still;whose;174.0;might
41;771;2020-05-07;1872;Stephenson-Lee;2025-10-15;Stuff;mother;;
467;12;2024-08-15;2123;Wilson PLC;2021-12-24;Not;Congress;;
331;319;2024-03-09;2434;Lawrence Inc;2023-06-02;Green;almost;149.0;service
389;377;2024-04-15;490;Snyder, Reese and Wagner;2021-07-04;Structure;debate;102.0;as
391;638;2021-05-31;3780;Travis PLC;2023-06-04;Material;care;;
140;319;2020-01-10;1963;Woodard PLC;2021-04-23;Green;almost;;
423;356;2023-12-19;1365;Goodman-Hayes;2024-12-18;Left;although;;
228;732;2022-01-23;3535;Butler PLC;2021-05-21;Test;type;;
170;1;2023-10-30;4881;Collins-Campos;2025-06-15;Effect;else;;
387;876;2021-12-17;979;Smith Group;2022-08-12;End;table;15.0;Mrs
387;876;2021-12-17;979;Smith Group;2022-08-12;End;table;65.0;window
96;897;2024-02-22;707;Sosa, Newton and Anderson;2022-05-18;Eat;growth;;
270;507;2025-07-19;3544;Knight-Alexander;2023-05-25;Space;none;175.0;practice
187;322;2021-03-08;4916;Hanson, White and Jackson;2024-06-25;Democrat;serve;;
269;297;2025-04-23;1537;Garcia, Velasquez and James;2024-10-15;Ball;senior;;
338;962;2025-07-11;650;Brown Ltd;2025-02-19;Reflect;write;;
434;693;2023-07-20;1262;Reyes LLC;2023-06-10;Entire;personal;;
