farmer_id;market_id;transaction_date;amount;name;creation_date;title;category;worker_id;extra_info;market_type
230;665;2025-04-29;4391;Shelton Inc;2023-04-03;Night;experience;169.0;hot;Mercado de Legumes
322;381;2021-05-03;1969;Elliott Group;2024-07-27;Wife;data;;;Mercado de Flores
364;756;2022-10-21;3272;Boyd-Sexton;2024-06-11;Short;blue;;;Mercado de Flores
451;307;2022-01-11;4271;Clay, Rivera and Taylor;2025-12-13;Traditional;appear;;;Mercado de Fruta
279;439;2021-03-06;1269;Craig, Gordon and Chang;2021-06-08;Weight;clear;;;Mercado de Fruta
496;480;2022-05-13;2503;Barrett, Patrick and Morton;2025-03-09;Actually;various;129.0;nor;Mercado de Flores
37;194;2020-06-10;2284;Meyer-Kim;2022-04-17;Student;each;40.0;do;Mercado de Legumes
56;25;2025-04-07;2413;Wheeler-Blackburn;2025-06-13;The;magazine;1.0;move;Mercado de Fruta
56;25;2025-04-07;2413;Wheeler-Blackburn;2025-06-13;The;magazine;132.0;sort;Mercado de Fruta
364;537;2023-03-19;438;Boyd-Sexton;2024-06-11;Skin;you;;;Mercado de Flores
98;796;2022-02-05;414;Riley, Dunn and Mccarty;2024-07-30;Prevent;evidence;;;Mercado de Fruta
182;118;2025-09-03;2908;Moore, Rivera and Nguyen;2024-06-18;Determine;recognize;;;Mercado de Fruta
178;211;2023-04-08;1898;Hernandez, Lewis and Shields;2025-07-25;Across;prove;97.0;pay;Mercado de Fruta
449;499;2023-10-13;3776;Price-Mckay;2023-01-29;Leader;spend;;;Mercado de Fruta
129;160;2021-10-21;4983;Gonzalez LLC;2025-09-05;Production;far;30.0;difficult;Mercado de Fruta
129;160;2021-10-21;4983;Gonzalez LLC;2025-09-05;Production;far;191.0;a;Mercado de Fruta
396;858;2020-03-05;1535;Mclaughlin Inc;2023-12-02;Coach;concern;;;Mercado de Flores
55;693;2022-02-05;2582;Hill, Allen and Rodriguez;2022-07-31;Entire;personal;114.0;ability;Mercado de Flores
15;968;2024-02-14;564;Jackson, Miller and Chang;2024-05-13;Responsibility;read;;;Mercado de Legumes
134;240;2022-02-13;2121;Riddle-Jones;2023-07-15;Describe;attorney;;;Mercado de Flores
89;620;2023-09-19;2543;Johns, Wolf and Osborne;2023-07-02;Simply;without;;;Mercado de Legumes
103;688;2022-10-20;2189;Miller, Rojas and Hall;2024-12-07;Special;where;;;Mercado de Fruta
273;299;2021-12-29;3143;Deleon, Conway and Sanchez;2024-12-11;General;parent;134.0;leg;Mercado de Legumes
196;430;2020-07-20;2461;Robinson-Cowan;2025-03-23;Piece;our;;;Mercado de Fruta
232;815;2022-08-09;2218;Stephenson Group;2025-12-12;Same;cultural;;;Mercado de Legumes
188;200;2022-09-08;1562;Davis, Cortez and Young;2022-03-06;Image;those;133.0;assume;Mercado de Legumes
188;200;2022-09-08;1562;Davis, Cortez and Young;2022-03-06;Image;those;135.0;support;Mercado de Legumes
345;390;2025-01-05;1414;Perez-Shannon;2023-09-04;Meeting;language;;;Mercado de Flores
272;3;2022-11-30;1386;Barrett PLC;2022-06-07;Development;approach;;;Mercado de Flores
192;965;2022-12-17;3641;Bowman Ltd;2023-10-30;Crime;simple;;;Mercado de Legumes
144;773;2020-12-31;816;Mercado-Thomas;2024-04-11;Personal;sea;103.0;need;Mercado de Legumes
359;373;2026-01-27;4044;Thompson-Miller;2025-10-31;Trial;box;;;Mercado de Fruta
